LandPrice,RoadWidth,Gas,DistRoad,DevelopmentRate,Dist,LONG,LAT
91000,8,1,1.9,200,6.59237,141.3538113,43.05025603
85000,6.5,0,1.1,200,6.51752,141.3549182,43.05100515
300000,8,0,0.8,200,3.0277,141.3507783,43.05700242
760000,8,1,3.3,200,3.96501,141.3518491,43.05521812
225000,8,1,1,200,4.63466,141.349045,43.05319184
190000,15,1,0.53,200,5.26551,141.3519756,43.05240459
220000,27,0,0.2,400,3.93168,141.3532499,43.05619029
155000,22,0,2.7,200,3.98471,141.3512491,43.05510791
185000,18,0,1.2,200,2.73582,141.3547204,43.05665275
89000,20,1,1.4,200,7.25672,141.3515512,43.05782554
167000,20,0,0.3,400,5.70206,141.3531937,43.04850569
115000,18,0,0.1,300,6.08289,141.3560473,43.05358489
265000,11,1,1.2,200,3.54455,141.3564611,43.05299016
95500,20,0,0.4,60,9.3721,141.3500257,43.05574261
109000,8,0,2.7,60,10.7989,141.352104,43.08461266
122000,8,1,1.2,60,10.2165,141.3518526,43.0876626
86000,8,0,0.8,60,11.3478,141.3511936,43.08614356
76000,8,0,1,200,8.64026,141.3496251,43.08799267
77000,8,0,0.55,60,11.7223,141.3540964,43.08356241
87000,8,1,0.35,200,11.5824,141.3472259,43.08765444
78000,8,0,2,60,9.97063,141.3551178,43.09030253
108000,8,0,1.5,60,10.8777,141.3573461,43.08703293
110000,8,0,3.5,60,9.77325,141.353626,43.08838441
88000,8,0,2.7,60,10.6394,141.3535543,43.08593065
109000,8,0,1.8,60,9.87612,141.3483607,43.08582931
84000,8,0,1,60,10.6752,141.3489555,43.08442827
90000,8,0,0.6,200,11.2744,141.3565884,43.08854018
74500,8,0,0.39,200,8.82542,141.3526617,43.08897503
70000,8,0,1.8,60,11.1497,141.3554133,43.08422532
120000,8,0,0.65,200,9.70674,141.3471733,43.08634464
93000,8,0,1.1,200,11.289,141.3511533,43.08500755
99000,8,0,1.4,60,11.1156,141.3508534,43.08837179
95000,8,0,2.6,60,10.8556,141.3538851,43.08897775
81000,8,0,0.33,200,10.1307,141.3550651,43.08868016
105000,8,0,1.3,60,9.77249,141.3565933,43.08731743
77000,8,0,2.1,60,9.77482,141.3541537,43.08607979
74000,8,0,1,200,9.3957,141.355209,43.08630768
210000,8,0,1.3,200,9.8953,141.3564222,43.08564169
160000,8,0,0.75,60,9.53532,141.3506223,43.08521333
232000,8,1,0.4,200,9.23939,141.3540023,43.08551951
112000,8,1,0.8,60,9.39489,141.3489997,43.08303644
505000,8,1,1.7,60,10.2221,141.3548198,43.08538844
79000,8,1,0.06,300,10.4694,141.3528668,43.08672396
190000,10,0,0.25,300,9.51729,141.3552837,43.08786646
69500,32,0,0.5,200,10.4084,141.3510509,43.08455157
62500,29,0,0.9,60,12.6575,141.3558565,43.04280395
71500,8,1,1.2,60,10.6444,141.3632891,43.04259107
87000,8,0,1.1,60,10.0362,141.3616182,43.04610299
85000,8,1,1,60,9.81987,141.3573077,43.04446243
70000,8,1,2.5,60,7.97668,141.3576518,43.04516759
87000,8,0,3,60,10.0952,141.3569179,43.04891539
80000,8,0,2.4,60,9.18456,141.3589272,43.04537661
70000,8,0,0.62,200,9.68456,141.355748,43.04548168
57500,11,0,0.82,60,14.1842,141.3550439,43.04399846
75000,8,0,1.4,200,8.49784,141.3578256,43.03541944
80000,5.5,0,1,60,9.25711,141.3590196,43.04919544
95000,8,1,0.8,200,10.4435,141.3592162,43.04754391
75000,8,1,1.3,60,9.13216,141.3588001,43.04448423
90500,6,0,1.2,60,9.35764,141.3537458,43.04460981
83000,8,0,2.1,60,10.9542,141.3566668,43.04561522
66000,8,1,1.4,60,12.4547,141.3578225,43.04269194
66000,10,0,0.74,200,12.1555,141.361253,43.04151732
74500,8,0,1.9,60,11.6183,141.3566891,43.0393441
72000,8,1,0.5,200,13.2604,141.357636,43.04107829
74000,5.5,0,2.4,200,11.5019,141.3592846,43.03834834
73500,8,1,0.85,60,8.72093,141.3598867,43.04277492
87000,8,0,1,200,9.01789,141.3549678,43.0461036
64000,8,0,1.2,60,13.579,141.357276,43.04676105
81000,8,0,0.5,60,8.83919,141.3573836,43.03653415
63000,8,1,1.4,60,12.3542,141.3546401,43.04567579
85000,9,0,0.4,60,10.7223,141.363519,43.04351614
67000,8,0,0.9,60,11.5647,141.3570492,43.0427585
71000,8,1,1.2,200,8.20918,141.3568035,43.04072777
71500,8,0,3,60,8.6227,141.3596659,43.05041118
64000,8,1,0.6,60,14.7139,141.3569679,43.04746855
80000,8,1,1.4,60,13.1405,141.3580532,43.03435766
153000,7,1,2.6,60,10.202,141.3581569,43.03794845
139000,8,1,0.8,60,9.48508,141.3566723,43.04371405
117000,10,1,2.8,60,12.3939,141.3554574,43.04465453
60000,6,0,1.7,60,11.2143,141.3575156,43.03926315
46000,8,1,0.5,200,12.3872,141.3586777,43.04263338
52000,8,1,0.8,200,11.9455,141.3591912,43.04027957
